name,symbol,current_price,market_cap,price_k
Bitcoin,btc,70888.0,1417434820823,70.888
Ethereum,eth,2072.59,250167812200,2.07259
Tether,usdt,1.0,183938508865,0.001
BNB,bnb,646.74,88166976984,0.64674
XRP,xrp,1.41,86499100598,0.00141
USDC,usdc,0.999995,78417132396,0.000999995
Solana,sol,88.02,50234807346,0.08802
TRON,trx,0.284596,26965556427,0.000284596
Figure Heloc,figr_heloc,1.04,16354203305,0.0010400000000000001
Dogecoin,doge,0.098235,15064191448,9.8235e-05
WhiteBIT Coin,wbt,56.14,11989649977,0.05614
USDS,usds,0.999936,11145195760,0.000999936
Cardano,ada,0.26904,9905895473,0.00026904
Bitcoin Cash,bch,449.88,8998454872,0.44988
LEO Token,leo,9.18,8456742914,0.009179999999999999
Hyperliquid,hype,34.24,8163614039,0.03424
Chainlink,link,9.11,6449659505,0.00911
Monero,xmr,349.35,6433668825,0.34935000000000005
Ethena USDe,usde,0.999328,5920990389,0.000999328
Canton,cc,0.148953,5660713535,0.000148953
Stellar,xlm,0.163055,5379380168,0.000163055
USD1,usd1,0.999459,4606933554,0.000999459
Dai,dai,0.999703,4274329711,0.000999703
Avalanche,avax,9.86,4258086639,0.009859999999999999
Rain,rain,0.00890138,4254177425,8.901380000000001e-06
Hedera,hbar,0.097509,4223576899,9.7509e-05
Litecoin,ltc,54.64,4204123002,0.05464
PayPal USD,pyusd,0.999743,4067009247,0.000999743
Sui,sui,0.981687,3830730830,0.000981687
Zcash,zec,224.83,3730782846,0.22483
Shiba Inu,shib,5.93e-06,3496468774,5.93e-09
Toncoin,ton,1.33,3266940699,0.00133
Cronos,cro,0.076278,3134574045,7.6278e-05
Tether Gold,xaut,5188.25,2930050874,5.18825
World Liberty Financial,wlfi,0.103186,2853757365,0.000103186
PAX Gold,paxg,5230.5,2615138310,5.2305
MemeCore,m,1.46,2554244324,0.00146
Polkadot,dot,1.52,2545047548,0.00152
Uniswap,uni,3.9,2469683095,0.0039
Mantle,mnt,0.698052,2288445149,0.000698052
Pi Network,pi,0.225122,2176095943,0.000225122
OKB,okb,97.29,2042658071,0.09729
Circle USYC,usyc,1.12,2034680555,0.0011200000000000001
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,2007393832,0.001
Bittensor,tao,205.24,1969865943,0.20524
Sky,sky,0.080763,1860784211,8.0763e-05
Aster,aster,0.709814,1743435891,0.0007098139999999999
Falcon USD,usdf,0.997395,1736575791,0.000997395
Aave,aave,113.77,1727629830,0.11377
Global Dollar,usdg,1.0,1702669419,0.001
NEAR Protocol,near,1.3,1682540326,0.0013
Ripple USD,rlusd,0.999686,1585730906,0.000999686
Bitget Token,bgb,2.17,1522300570,0.00217
HTX DAO,htx,1.58e-06,1451794255,1.58e-09
Pepe,pepe,3.42e-06,1437193051,3.4199999999999998e-09
Internet Computer,icp,2.49,1368758584,0.00249
BFUSD,bfusd,0.999203,1318947539,0.000999203
Ethereum Classic,etc,8.43,1314099537,0.00843
Ondo US Dollar Yield,usdy,1.089,1274037518,0.001089
Ondo,ondo,0.260235,1269672953,0.000260235
Pump.fun,pump,0.00207455,1223967808,2.07455e-06
Gate,gt,7.08,1133103428,0.00708
Morpho,morpho,1.98,1086190895,0.00198
KuCoin,kcs,8.17,1079199591,0.00817
Worldcoin,wld,0.369899,1077531344,0.000369899
Superstate Short Duration U.S. Government Securities Fund (USTB),ustb,11.01,1069466111,0.011009999999999999
POL (ex-MATIC),pol,0.098057,1039740419,9.8057e-05
Spiko EU T-Bills Money Market Fund,eutbl,1.22,946848457,0.00122
Quant,qnt,63.08,917685901,0.06308
Midnight,night,0.055071,914718538,5.5071e-05
NEXO,nexo,0.912018,911191625,0.000912018
Cosmos Hub,atom,1.83,909346593,0.00183
Ethena,ena,0.105576,896693336,0.00010557600000000001
USDtb,usdtb,0.998592,834284137,0.000998592
Kaspa,kas,0.03037719,813851013,3.0377189999999997e-05
Render,render,1.53,797478619,0.0015300000000000001
Flare,flr,0.00917394,780697829,9.17394e-06
Algorand,algo,0.08751,778061858,8.751000000000001e-05
Aptos,apt,0.981779,767060573,0.000981779
Provenance Blockchain,hash,0.01356261,753044947,1.3562609999999999e-05
OUSG,ousg,114.54,748891556,0.11454
Janus Henderson Anemoy AAA CLO Fund,jaaa,1.026,744809007,0.001026
USDD,usdd,1.0,740093135,0.001
Filecoin,fil,0.925828,704120008,0.000925828
Official Trump,trump,2.92,678456646,0.00292
XDC Network,xdc,0.03231417,644151056,3.231417e-05
VeChain,vet,0.00720956,620169856,7.20956e-06
Beldex,bdx,0.080001,608442839,8.000100000000001e-05
Jupiter,jup,0.172896,605012538,0.000172896
Arbitrum,arb,0.100592,597498261,0.000100592
YLDS,ylds,0.999906,597054093,0.000999906
​​Stable,stable,0.02869433,594933936,2.869433e-05
GHO,gho,0.999522,573939777,0.000999522
Janus Henderson Anemoy Treasury Fund,jtrsy,1.097,568493799,0.0010969999999999999
Usual USD,usd0,0.996364,561579743,0.000996364
Bonk,bonk,6.1e-06,536673042,6.1e-09
Decred,dcr,29.84,516717801,0.02984
Kite,kite,0.284985,513043572,0.00028498499999999997
TrueUSD,tusd,0.999991,494470593,0.000999991
A7A5,a7a5,0.01253123,491155243,1.2531230000000002e-05
