name,symbol,market_cap,current_price
Bitcoin,btc,1429657489073,71504.0
Ethereum,eth,252640595688,2094.11
Tether,usdt,184077459326,1.0
BNB,bnb,89942356945,659.66
XRP,xrp,87061513035,1.42
USDC,usdc,79170967220,0.999959
Solana,sol,50180777791,87.73
TRON,trx,28234722496,0.297926
Figure Heloc,figr_heloc,15891025852,1.003
Dogecoin,doge,14635156890,0.095395
WhiteBIT Coin,wbt,11910717797,55.77
USDS,usds,11258963999,0.999922
Cardano,ada,9739789203,0.264189
Bitcoin Cash,bch,9269123832,463.1
Hyperliquid,hype,8925933012,37.44
