name,symbol,market_cap,current_price
Bitcoin,btc,1429657489073,71504.0
Ethereum,eth,252640595688,2094.11
Tether,usdt,184077459326,1.0
BNB,bnb,89942356945,659.66
XRP,xrp,87061513035,1.42
USDC,usdc,79170967220,0.999959
Solana,sol,50180777791,87.73
TRON,trx,28234722496,0.297926
Figure Heloc,figr_heloc,15891025852,1.003
Dogecoin,doge,14635156890,0.095395
WhiteBIT Coin,wbt,11910717797,55.77
USDS,usds,11258963999,0.999922
Cardano,ada,9739789203,0.264189
Bitcoin Cash,bch,9269123832,463.1
Hyperliquid,hype,8925933012,37.44
LEO Token,leo,8357473126,9.07
Monero,xmr,6621277637,359.04
Chainlink,link,6507862860,9.18
Ethena USDe,usde,5917457114,0.999312
Canton,cc,5806317423,0.151883
Stellar,xlm,5546710547,0.168018
USD1,usd1,4585398939,0.999432
Dai,dai,4298364676,1.0
Rain,rain,4280288811,0.00895347
Litecoin,ltc,4256189031,55.31
Avalanche,avax,4221155985,9.76
Hedera,hbar,4133677542,0.095395
PayPal USD,pyusd,4129991982,0.999782
Sui,sui,3910049918,1.002
Zcash,zec,3770470118,227.5
Shiba Inu,shib,3444261380,5.85e-06
Cronos,cro,3198191353,0.077792
Toncoin,ton,3166692001,1.29
World Liberty Financial,wlfi,2882514651,0.10418
Tether Gold,xaut,2809816882,4976.86
Bittensor,tao,2598369267,271.1
MemeCore,m,2579235334,1.48
Mantle,mnt,2563021147,0.782029
Uniswap,uni,2510799844,3.96
PAX Gold,paxg,2506935040,5010.59
Polkadot,dot,2383392431,1.42
Circle USYC,usyc,2310904537,1.12
OKB,okb,2020000421,96.19
BlackRock USD Institutional Digital Liquidity Fund,buidl,1995324276,1.0
Pi Network,pi,1887282193,0.194679
Global Dollar,usdg,1767436997,1.0
Aster,aster,1751603408,0.71323
Falcon USD,usdf,1748763997,0.997172
NEAR Protocol,near,1734844522,1.34
Aave,aave,1717680431,113.04
Sky,sky,1690360425,0.073291
Ripple USD,rlusd,1552477480,0.999867
Bitget Token,bgb,1515695893,2.17
HTX DAO,htx,1504370332,1.64e-06
Internet Computer,icp,1470107153,2.67
Pepe,pepe,1413560316,3.36e-06
BFUSD,bfusd,1319086538,0.999308
Ondo US Dollar Yield,usdy,1308269348,1.12
Ethereum Classic,etc,1296891814,8.32
Ondo,ondo,1288862868,0.264659
Pump.fun,pump,1168194579,0.00197901
Gate,gt,1133103428,7.15
Superstate Short Duration U.S. Government Securities Fund (USTB),ustb,1109875016,11.02
KuCoin,kcs,1081610033,8.19
Worldcoin,wld,1045289068,0.35809
POL (ex-MATIC),pol,1022480931,0.096392
Morpho,morpho,1016070349,1.85
Spiko EU T-Bills Money Market Fund,eutbl,978058729,1.2
Quant,qnt,968844759,66.58
Render,render,960704080,1.85
Cosmos Hub,atom,925902103,1.86
Official Trump,trump,922363332,3.97
Ethena,ena,918118218,0.10804
NEXO,nexo,898328129,0.897917
Midnight,night,838511304,0.050586
USDtb,usdtb,835472729,0.999578
Algorand,algo,816128293,0.091767
Kaspa,kas,812889468,0.03034989
Janus Henderson Anemoy Treasury Fund,jtrsy,764222230,1.097
USDD,usdd,762033772,1.0
Flare,flr,742477141,0.0087091
Aptos,apt,733125140,0.924262
OUSG,ousg,723351017,114.58
Provenance Blockchain,hash,696106475,0.0124967
Filecoin,fil,676891274,0.888241
XDC Network,xdc,633810566,0.03180759
VeChain,vet,627919602,0.00730193
Beldex,bdx,613984081,0.080673
​​Stable,stable,611795438,0.02931541
Arbitrum,arb,605600652,0.101846
YLDS,ylds,595517464,0.999938
GHO,gho,583952936,0.999919
Usual USD,usd0,562012057,0.998616
Jupiter,jup,557880539,0.159459
Bonk,bonk,523601022,5.95e-06
TrueUSD,tusd,494158490,0.999258
A7A5,a7a5,485331882,0.01238226
PancakeSwap,cake,481434858,1.46
Virtuals Protocol,virtual,475927762,0.725194
Fasttoken,ftn,472655358,1.089
